Time;Position;Rotation;player Position;pizza Rotation;enemy Position;Variant;Condition
10:12:55;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
